Job_Role,Skills,Average_Salary_INR,Demand_Score,Year
Data Scientist,Python;ML;Statistics;Pandas;SQL,1200000,85,2025
AI Engineer,Python;Deep Learning;TensorFlow;Math;NLP,1500000,90,2025
Web Developer,HTML;CSS;JavaScript;React;Node,800000,75,2025
Cybersecurity Analyst,Networking;Security;Python;Ethical Hacking,1100000,82,2025
Cloud Engineer,AWS;Docker;Kubernetes;Linux;Python,1400000,88,2025
Business Analyst,Excel;SQL;Visualization;Communication,900000,70,2025
Software Engineer,Java;DSA;System Design;Git,1300000,87,2025
ML Engineer,Python;ML;MLOps;Data Engineering,1450000,89,2025
DevOps Engineer,CI/CD;Docker;AWS;Scripting,1350000,84,2025
Data Analyst,SQL;Excel;Python;PowerBI,850000,72,2025
